Method,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000
Variance,0.0008389949798583984,0.00038313865661621094,0.0004620552062988281,0.0006279945373535156,0.0008831024169921875,0.0009386539459228516,0.0010406970977783203,0.0013401508331298828,0.0014955997467041016,0.0035054683685302734,0.0045011043548583984,0.004649639129638672,0.003965854644775391,0.0028624534606933594,0.0035359859466552734,0.003329753875732422,0.003347158432006836,0.0035698413848876953,0.004190683364868164,0.008638858795166016,0.007673025131225586,0.0069692134857177734,0.005575418472290039,0.008565902709960938,0.009273052215576172,0.005051136016845703,0.006764650344848633,0.010471105575561523,0.006753444671630859,0.0073697566986083984,0.010746240615844727,0.027753829956054688,0.01440739631652832,0.013967752456665039,0.011405467987060547,0.013137340545654297,0.013667583465576172,0.01335906982421875,0.008547782897949219
Correlation,0.03104233741760254,0.03275775909423828,0.06315255165100098,0.09973335266113281,0.13731050491333008,0.18127012252807617,0.22417497634887695,0.2730879783630371,0.33814406394958496,0.3801262378692627,0.4543721675872803,0.5543317794799805,0.5950272083282471,0.6800305843353271,0.7626104354858398,0.8424336910247803,0.9244565963745117,1.0086147785186768,1.101388931274414,1.2017953395843506,1.316131591796875,1.4159648418426514,1.5505106449127197,1.6950459480285645,1.8069534301757812,1.948948860168457,2.0767483711242676,2.2455978393554688,2.5005059242248535,2.557358503341675,2.96649432182312,2.9538400173187256,3.0476441383361816,3.298614025115967,3.4564857482910156,3.6297800540924072,3.800262212753296,4.0971691608428955,4.259277582168579
Laplacian,0.14655280113220215,0.14031052589416504,0.12685489654541016,0.1136620044708252,0.09282135963439941,0.07998132705688477,0.09454607963562012,0.10388970375061035,0.11554980278015137,0.12534403800964355,0.14162874221801758,0.15020275115966797,0.16176605224609375,0.17229270935058594,0.1862797737121582,0.20041465759277344,0.2111988067626953,0.21991896629333496,0.23192048072814941,0.2446737289428711,0.24959301948547363,0.2681870460510254,0.275543212890625,0.2895190715789795,0.3059999942779541,0.3209052085876465,0.32436037063598633,0.3305785655975342,0.34723877906799316,0.3564445972442627,0.36386871337890625,0.37938880920410156,0.39003562927246094,0.40258121490478516,0.41797518730163574,0.42936205863952637,0.4359135627746582,0.45286130905151367,0.460831880569458
Random,5.435943603515625e-05,4.00543212890625e-05,4.172325134277344e-05,4.363059997558594e-05,4.792213439941406e-05,5.030632019042969e-05,6.0558319091796875e-05,7.939338684082031e-05,6.508827209472656e-05,7.152557373046875e-05,7.367134094238281e-05,8.20159912109375e-05,8.845329284667969e-05,0.00010561943054199219,0.00011849403381347656,0.00010395050048828125,0.00011229515075683594,0.00010395050048828125,0.00010824203491210938,0.00011563301086425781,0.0001289844512939453,0.00012063980102539062,0.00012302398681640625,0.00012350082397460938,0.0001361370086669922,0.0001392364501953125,0.00016617774963378906,0.00014281272888183594,0.0001456737518310547,0.000148773193359375,0.0002124309539794922,0.00015783309936523438,0.00016498565673828125,0.0001609325408935547,0.00016307830810546875,0.0005152225494384766,0.00025844573974609375,0.00017499923706054688,0.0002522468566894531
VCSDFS,1.6104457378387451,1.3204545974731445,2.294154405593872,1.3083293437957764,2.241684675216675,2.6962788105010986,3.9512057304382324,4.345584869384766,5.452337741851807,6.368951797485352,7.130370616912842,8.077743768692017,8.958749055862427,10.694266080856323,11.508098363876343,12.890140295028687,14.242274045944214,15.558242559432983,17.88021421432495,19.781485319137573,21.1219744682312,23.126104831695557,25.520779132843018,28.605721712112427,31.720577001571655,32.539615869522095,35.577279567718506,38.69885277748108,41.26605725288391,44.275912046432495,47.351131200790405,52.61928057670593,53.89814734458923,59.23841333389282,63.73771405220032,66.99517560005188,70.96592378616333,75.38349390029907,79.49724268913269
LIDFS,1.0291743278503418,2.2324156761169434,4.012240171432495,6.024228572845459,8.941719770431519,11.923625707626343,16.130008697509766,20.393828868865967,24.85691809654236,29.47758173942566,35.39313292503357,41.74044418334961,47.971474170684814,57.04967784881592,65.88418197631836,75.4110701084137,82.6583800315857,94.38136553764343,105.11414527893066,118.49187636375427,128.25326991081238,140.0263774394989,155.13035559654236,172.48183393478394,180.46684575080872,193.97740483283997,215.49813675880432,227.1846227645874,241.57190036773682,271.0303862094879,287.88554072380066,302.86130380630493,327.25320982933044,339.4937205314636,376.2478597164154,399.4121232032776,405.72615218162537,425.2048134803772,453.14390087127686
SOGFS,112.11541795730591,145.5815076828003,460.23692989349365,582.6979074478149,996.2333650588989,1865.5118334293365,2216.7339112758636,3706.308615922928,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
LLSRFS,2.0801284313201904,3.2414374351501465,7.696079730987549,11.766202211380005,15.64388918876648,19.24765634536743,34.130085468292236,34.30487394332886,36.81239199638367,44.77186155319214,52.107298135757446,114.56117987632751,77.0142548084259,85.745290517807,98.5479838848114,105.82266664505005,108.60639572143555,187.02574348449707,147.59321355819702,203.32842206954956,181.95031595230103,200.35905647277832,217.10032987594604,356.8728914260864,274.00182938575745,293.1879403591156,309.9674689769745,439.0422332286835,380.1799404621124,432.93316864967346,640.9885621070862,464.552686214447,488.48766255378723,590.7060117721558,544.8697309494019,570.895224571228,646.7064085006714,786.7299382686615,556.1621332168579
SCFS,0.648958683013916,1.4440193176269531,2.310915470123291,4.720083236694336,4.523632287979126,7.97171950340271,10.827104568481445,11.681554794311523,22.071409225463867,23.124406814575195,21.48463487625122,28.217812061309814,18.547133684158325,21.903910398483276,25.759172201156616,33.46977257728577,39.32149624824524,37.738707542419434,43.62246370315552,54.951539039611816,50.08660340309143,59.351619243621826,60.071898221969604,71.49737429618835,81.51105690002441,89.85730195045471,103.82508301734924,104.8516616821289,108.30305075645447,114.47956919670105,134.25905847549438,136.97571063041687,142.14915800094604,172.2808563709259,158.07448959350586,197.40912890434265,215.28009366989136,193.1569664478302,222.01566529273987
