Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.62777778,0.63055556,0.67638889,0.67222222,0.66666667,0.66388889,0.66527778,0.68611111,0.66388889,0.67916667,0.67222222,0.66111111,0.65555556,0.65000000,0.65416667,0.65694444,0.64166667,0.64722222,0.64166667,0.68611111
CLL_SUB_111,0.46216216,0.47927928,0.38648649,0.38378378,0.38378378,0.39369369,0.38648649,0.37927928,0.37927928,0.40540541,0.41171171,0.41531532,0.46756757,0.48108108,0.48378378,0.49549550,0.51621622,0.51981982,0.49819820,0.52342342
COIL20,0.34062500,0.35062500,0.37222222,0.47034722,0.55520833,0.58020833,0.57402778,0.58715278,0.59798611,0.58416667,0.61395833,0.61333333,0.62312500,0.63458333,0.60777778,0.62020833,0.60972222,0.64784722,0.64388889,0.66027778
Carcinom,0.38678161,0.45862069,0.52241379,0.54137931,0.62873563,0.58850575,0.64770115,0.69080460,0.68333333,0.69137931,0.70804598,0.70172414,0.67356322,0.72643678,0.67471264,0.68678161,0.64137931,0.64540230,0.64022989,0.65459770
GLIOMA,0.43200000,0.44400000,0.48800000,0.49000000,0.50800000,0.52200000,0.51800000,0.54400000,0.55600000,0.57600000,0.60600000,0.58600000,0.59800000,0.60800000,0.61200000,0.63000000,0.60000000,0.60400000,0.59800000,0.60600000
GLI_85,0.65294118,0.60117647,0.63176471,0.63764706,0.69411765,0.66941176,0.66823529,0.67294118,0.65882353,0.65058824,0.65058824,0.64000000,0.63294118,0.63529412,0.64352941,0.64588235,0.63529412,0.62941176,0.62235294,0.67411765
Isolet,0.19115385,0.23923077,0.27769231,0.35179487,0.39141026,0.42269231,0.47378205,0.49429487,0.51961538,0.50737179,0.53070513,0.54217949,0.54217949,0.56096154,0.58006410,0.57346154,0.59262821,0.62666667,0.61589744,0.60371795
ORL,0.33050000,0.44100000,0.49275000,0.49625000,0.53175000,0.52350000,0.53875000,0.54950000,0.56125000,0.56050000,0.57975000,0.58225000,0.56175000,0.57750000,0.57600000,0.58375000,0.59225000,0.56925000,0.58225000,0.58325000
Prostate_GE,0.76274510,0.71176471,0.71764706,0.76078431,0.72254902,0.67843137,0.58039216,0.55294118,0.55980392,0.56470588,0.58039216,0.59901961,0.61176471,0.61274510,0.61470588,0.61568627,0.61176471,0.61372549,0.59117647,0.58333333
