Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.93266667,0.95504762,0.96209524,0.95085714,0.95361905,0.96476190,0.96200000,0.96361905,0.97171429,0.96361905,0.97057143,0.96504762,0.96809524,0.96219048,0.97342857,0.97066667,0.96476190,0.97085714,0.96504762,0.96352381
CLL_SUB_111,0.62241107,0.63608696,0.66130435,0.68656126,0.67660079,0.69023715,0.68830040,0.68675889,0.69387352,0.70367589,0.71814229,0.71126482,0.72359684,0.72905138,0.73537549,0.72193676,0.73517787,0.72897233,0.74138340,0.74158103
COIL20,0.83291667,0.88083333,0.91812500,0.94576389,0.96263889,0.96979167,0.97798611,0.98270833,0.98909722,0.99090278,0.99291667,0.99618056,0.99722222,0.99750000,0.99881944,0.99888889,0.99895833,0.99888889,0.99895833,0.99875000
Carcinom,0.88628571,0.89494118,0.89722689,0.89373109,0.89089076,0.89603361,0.89137815,0.88628571,0.88737815,0.88287395,0.89203361,0.88453782,0.87998319,0.88401681,0.87884034,0.87936134,0.88055462,0.88460504,0.87191597,0.87596639
GLIOMA,0.73600000,0.74800000,0.74800000,0.74600000,0.77200000,0.77400000,0.79000000,0.76200000,0.77800000,0.78000000,0.77400000,0.78800000,0.77400000,0.77400000,0.79000000,0.76400000,0.76000000,0.77000000,0.77800000,0.75200000
GLI_85,0.83294118,0.84705882,0.86235294,0.87529412,0.87058824,0.88000000,0.87058824,0.87294118,0.87294118,0.87176471,0.87411765,0.87294118,0.87529412,0.86588235,0.88823529,0.86705882,0.86000000,0.87294118,0.88117647,0.87176471
Isolet,0.73596154,0.80012821,0.82743590,0.84897436,0.86858974,0.88698718,0.89198718,0.89525641,0.89634615,0.91141026,0.91897436,0.92435897,0.92897436,0.93256410,0.93750000,0.93826923,0.93801282,0.93961538,0.93826923,0.93743590
ORL,0.78875000,0.85325000,0.87850000,0.88875000,0.89775000,0.90400000,0.91300000,0.91700000,0.92700000,0.92625000,0.93525000,0.93900000,0.94200000,0.94900000,0.94700000,0.95050000,0.95025000,0.95075000,0.95025000,0.94900000
Prostate_GE,0.68800000,0.77595238,0.78476190,0.79676190,0.82247619,0.83752381,0.86100000,0.86914286,0.88366667,0.88957143,0.88971429,0.89257143,0.90728571,0.90919048,0.90033333,0.90819048,0.90923810,0.90819048,0.90819048,0.90504762
SMK_CAN_187,0.70000000,0.70275960,0.69467994,0.69031294,0.68507824,0.67981508,0.68559033,0.68352774,0.68449502,0.67123755,0.67914651,0.67699858,0.66694168,0.67073969,0.67375533,0.67651494,0.67159317,0.67431010,0.66684211,0.66894737
TOX_171,0.72008403,0.72752941,0.75448739,0.78435294,0.77312605,0.79319328,0.79374790,0.80600000,0.79712605,0.80183193,0.81416807,0.81119328,0.80178151,0.81699160,0.81119328,0.80231933,0.80652101,0.79642017,0.79707563,0.80189916
Yale,0.60121212,0.65151515,0.67636364,0.69515152,0.71030303,0.72363636,0.71878788,0.72666667,0.72424242,0.73454545,0.73454545,0.73878788,0.74787879,0.75030303,0.75333333,0.76848485,0.76606061,0.76181818,0.75757576,0.76909091
arcene,0.80900000,0.82750000,0.81700000,0.82800000,0.83300000,0.83550000,0.83650000,0.83800000,0.84100000,0.83800000,0.84050000,0.84300000,0.83500000,0.83550000,0.83200000,0.82600000,0.81650000,0.81600000,0.81100000,0.81900000
colon,0.65256410,0.66038462,0.71679487,0.71064103,0.72230769,0.73025641,0.73179487,0.74051282,0.75525641,0.75717949,0.76141026,0.76666667,0.77782051,0.76794872,0.78500000,0.79038462,0.79307692,0.79051282,0.79076923,0.81666667
gisette,0.95942857,0.96682857,0.97022857,0.97151429,0.97221429,0.97360000,0.97557143,0.97612857,0.97572857,0.97445714,0.97450000,0.97318571,0.97328571,0.97300000,0.97271429,0.97202857,0.97161429,0.97204286,0.97190000,0.97185714
leukemia,0.87809524,0.93038095,0.96361905,0.96619048,0.96619048,0.97885714,0.97600000,0.98019048,0.97171429,0.97066667,0.96752381,0.97038095,0.97180952,0.96628571,0.97038095,0.96914286,0.95942857,0.96914286,0.96200000,0.96523810
lung,0.94781707,0.94479268,0.94679268,0.94879268,0.94435366,0.94384146,0.94285366,0.93895122,0.94142683,0.93795122,0.93648780,0.93301220,0.93502439,0.93551220,0.93104878,0.93402439,0.93306098,0.93203659,0.92908537,0.92960976
lung_discrete,0.66076190,0.70533333,0.77247619,0.79000000,0.78180952,0.80952381,0.81723810,0.81885714,0.82685714,0.84342857,0.84342857,0.85323810,0.84628571,0.84047619,0.84752381,0.84447619,0.85685714,0.85857143,0.83638095,0.84771429
madelon,0.88592308,0.86261538,0.83834615,0.82392308,0.80519231,0.79246154,0.77842308,0.77173077,0.75969231,0.75030769,0.74242308,0.73611538,0.73246154,0.72065385,0.72380769,0.72034615,0.71580769,0.70896154,0.70430769,0.70461538
orlraws10P,0.93600000,0.97100000,0.96600000,0.97500000,0.97700000,0.97800000,0.97700000,0.97700000,0.97600000,0.97400000,0.97800000,0.97700000,0.97200000,0.97400000,0.97200000,0.97900000,0.97900000,0.97100000,0.96800000,0.97000000
pixraw10P,0.97900000,0.98700000,0.99900000,0.99200000,0.99000000,0.98700000,0.98600000,0.98400000,0.98300000,0.98400000,0.97900000,0.98200000,0.98000000,0.98200000,0.97800000,0.98000000,0.98500000,0.98600000,0.98100000,0.98300000
warpAR10P,0.58692308,0.61461538,0.60615385,0.61846154,0.62923077,0.69384615,0.72923077,0.74615385,0.75923077,0.76538462,0.80153846,0.81846154,0.82384615,0.85076923,0.84923077,0.86384615,0.85307692,0.87076923,0.88461538,0.89076923
warpPIE10P,0.72190476,0.80523810,0.84619048,0.88714286,0.90047619,0.91333333,0.91666667,0.92857143,0.93142857,0.93904762,0.95428571,0.95952381,0.96476190,0.96523810,0.96666667,0.96857143,0.97380952,0.97333333,0.98333333,0.98285714
