Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.73057143,0.76809524,0.75933333,0.75895238,0.75923810,0.76542857,0.81171429,0.79961905,0.80885714,0.78657143,0.79266667,0.80152381,0.81076190,0.83600000,0.83180952,0.84266667,0.83466667,0.82752381,0.83733333,0.83038095
CLL_SUB_111,0.52347826,0.55735178,0.51067194,0.54770751,0.55774704,0.56067194,0.52782609,0.54486166,0.53359684,0.54411067,0.54063241,0.59924901,0.59011858,0.61865613,0.58727273,0.60181818,0.59193676,0.60565217,0.60545455,0.60980237
COIL20,0.80784722,0.92111111,0.94798611,0.96506944,0.96972222,0.97652778,0.98513889,0.99041667,0.99159722,0.99187500,0.99263889,0.99645833,0.99527778,0.99638889,0.99576389,0.99715278,0.99638889,0.99722222,0.99708333,0.99701389
Carcinom,0.75705882,0.74658824,0.78121008,0.80121008,0.80818487,0.81394958,0.81897479,0.81737815,0.81969748,0.83005042,0.82539496,0.83011765,0.82030252,0.83223529,0.83226891,0.83794958,0.83571429,0.84442017,0.84615126,0.84157983
GLIOMA,0.71400000,0.73400000,0.74800000,0.75800000,0.73200000,0.74000000,0.73200000,0.72600000,0.73200000,0.71400000,0.71600000,0.70600000,0.72600000,0.74600000,0.72800000,0.74600000,0.76000000,0.75200000,0.73800000,0.75000000
GLI_85,0.77411765,0.76941176,0.83294118,0.82117647,0.83529412,0.83294118,0.86705882,0.85176471,0.86235294,0.85647059,0.86117647,0.85647059,0.86470588,0.86117647,0.86352941,0.85647059,0.86000000,0.85411765,0.86000000,0.86470588
Isolet,0.23057692,0.29608974,0.33051282,0.37358974,0.44647436,0.50371795,0.52096154,0.53512821,0.53602564,0.60000000,0.59743590,0.64217949,0.69679487,0.72121795,0.72589744,0.75070513,0.75326923,0.77224359,0.77993590,0.78179487
ORL,0.55375000,0.70950000,0.79500000,0.85925000,0.88625000,0.88450000,0.89200000,0.89850000,0.90650000,0.90675000,0.91125000,0.91225000,0.92050000,0.92000000,0.92275000,0.92525000,0.93775000,0.93300000,0.93450000,0.93625000
Prostate_GE,0.79180952,0.80052381,0.82861905,0.83090476,0.82785714,0.82676190,0.84252381,0.85838095,0.83566667,0.85642857,0.85261905,0.85919048,0.85723810,0.85338095,0.84619048,0.85342857,0.85133333,0.85819048,0.85628571,0.86123810
