Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.98222222,0.98808889,0.99004444,0.99164444,0.99455556,0.99322222,0.99528889,0.99431111,0.99404444,0.99535556,0.99457778,0.99437778,0.99584444,0.99375556,0.99500000,0.99635556,0.99320000,0.99546667,0.99508889,0.99697778
CLL_SUB_111,0.78724820,0.80431975,0.81801611,0.82808237,0.82387987,0.83797811,0.83159283,0.83307167,0.83906926,0.84548629,0.84912698,0.85019541,0.85415356,0.85405495,0.86814238,0.86040981,0.86519853,0.86590260,0.87405002,0.87088516
COIL20,0.98101866,0.99027051,0.99408240,0.99693955,0.99774800,0.99829547,0.99889473,0.99921889,0.99946674,0.99953974,0.99966661,0.99987390,0.99995232,0.99996562,0.99998113,0.99998382,0.99998628,0.99998626,0.99997908,0.99996075
Carcinom,0.98811715,0.98744269,0.98913606,0.98924656,0.99000065,0.98932903,0.98851887,0.98911965,0.98964463,0.98940290,0.99033035,0.99138844,0.98749616,0.98877075,0.98915002,0.98788752,0.98686402,0.98926152,0.98858636,0.98718141
GLIOMA,0.91708829,0.92613839,0.92946925,0.93412698,0.92945933,0.93413442,0.93836062,0.93718750,0.93370288,0.93459325,0.93101438,0.93376736,0.93266121,0.92970238,0.93357639,0.93408482,0.93142361,0.93336558,0.93238343,0.92769097
GLI_85,0.90966667,0.92084848,0.93037879,0.93836364,0.93707576,0.93693939,0.92992424,0.94196970,0.93025758,0.93862121,0.93786364,0.93548485,0.94357576,0.93707576,0.93963636,0.93824242,0.93186364,0.94045455,0.94336364,0.93639394
Isolet,0.98360491,0.98949840,0.99109915,0.99240182,0.99328152,0.99437126,0.99470769,0.99502457,0.99534316,0.99582254,0.99628932,0.99667874,0.99694936,0.99714733,0.99760812,0.99760588,0.99762564,0.99763472,0.99759701,0.99758152
ORL,0.97883333,0.98707853,0.98755929,0.98839423,0.98951122,0.99055449,0.99105128,0.99290865,0.99350160,0.99371314,0.99449199,0.99500160,0.99536699,0.99502724,0.99548397,0.99641186,0.99673077,0.99711699,0.99679487,0.99705128
Prostate_GE,0.74622727,0.82056364,0.84717273,0.85309091,0.86704545,0.88570909,0.89735455,0.90447273,0.91326364,0.91474545,0.91990909,0.92287273,0.93236364,0.93557273,0.93698182,0.93370000,0.93048182,0.93485455,0.93728182,0.93817273
SMK_CAN_187,0.71524854,0.72880263,0.72868713,0.72786257,0.72725877,0.71984503,0.72635965,0.72636842,0.72581871,0.72352485,0.73024561,0.72481579,0.72360088,0.71694591,0.72559357,0.72327485,0.72485965,0.72792544,0.72435526,0.72455556
TOX_171,0.92724489,0.92911095,0.94036477,0.94758490,0.95067347,0.95039044,0.95358975,0.95598716,0.95502310,0.95817964,0.96007835,0.95608745,0.95587176,0.95788937,0.95663340,0.95614439,0.95616632,0.95463639,0.95488879,0.95662419
Yale,0.86565329,0.87943345,0.88794791,0.89921625,0.89789176,0.90082151,0.90067790,0.90632664,0.90484421,0.91338351,0.91319642,0.91631183,0.91490872,0.92025639,0.92397157,0.92652139,0.93001983,0.93474791,0.93343943,0.93767192
arcene,0.90195155,0.91627309,0.91693579,0.92108463,0.92230024,0.92772656,0.92391769,0.92665233,0.92881726,0.92769324,0.92808591,0.92696350,0.92398693,0.92243432,0.91918481,0.91669560,0.91083966,0.90936339,0.90797838,0.90660086
colon,0.65437500,0.70612500,0.75856250,0.75093750,0.77175000,0.77537500,0.78562500,0.80293750,0.82018750,0.82943750,0.85150000,0.84462500,0.85087500,0.85531250,0.86368750,0.86518750,0.87550000,0.85993750,0.86187500,0.89118750
gisette,0.99027824,0.99334661,0.99447390,0.99488620,0.99546231,0.99567573,0.99644304,0.99661010,0.99670900,0.99639686,0.99636429,0.99616622,0.99610157,0.99602102,0.99596827,0.99591853,0.99583169,0.99580847,0.99581576,0.99578820
leukemia,0.93124444,0.97931111,0.99306667,0.99622222,0.99277778,0.99271111,0.99200000,0.99613333,0.98986667,0.99342222,0.99200000,0.99051111,0.98831111,0.98786667,0.99177778,0.99022222,0.99324444,0.99122222,0.99191111,0.99322222
lung,0.99222045,0.99540062,0.99568107,0.99621144,0.99629963,0.99642318,0.99631412,0.99609501,0.99606958,0.99632881,0.99593307,0.99626853,0.99629979,0.99594256,0.99548292,0.99580150,0.99589800,0.99612605,0.99575382,0.99592649
lung_discrete,0.93441060,0.93808223,0.95396410,0.95230410,0.95598628,0.96346339,0.96812571,0.97086174,0.97446062,0.97783370,0.97853193,0.97568844,0.98177857,0.97934284,0.97749766,0.97493717,0.97952482,0.98041232,0.97816227,0.97984968
madelon,0.95255607,0.93322012,0.91427604,0.90183491,0.88664556,0.87688654,0.86266672,0.85268328,0.84467204,0.83376716,0.82142278,0.81579364,0.80761746,0.80018876,0.79967751,0.79476435,0.79028521,0.78420385,0.77771006,0.77685237
orlraws10P,0.99686111,0.99880556,0.99900000,0.99888889,0.99875000,0.99863889,0.99880556,0.99894444,0.99877778,0.99877778,0.99861111,0.99861111,0.99875000,0.99908333,0.99919444,0.99866667,0.99894444,0.99863889,0.99875000,0.99850000
pixraw10P,0.99994444,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99994444,0.99994444,0.99994444,0.99994444,0.99994444,0.99997222,0.99994444,0.99994444,0.99994444,1.00000000,0.99994444,0.99994444,0.99994444,0.99994444
warpAR10P,0.88537319,0.88953080,0.87640670,0.88405254,0.88651902,0.92210598,0.93908424,0.95165761,0.95918116,0.96584964,0.97346739,0.97582065,0.97785507,0.98059783,0.98105978,0.98369022,0.98514040,0.98568569,0.98811141,0.99075362
warpPIE10P,0.94403898,0.96666262,0.97776785,0.98347073,0.98712696,0.98886465,0.98949573,0.99209520,0.99357603,0.99503570,0.99667795,0.99799495,0.99872735,0.99896234,0.99916230,0.99918745,0.99916302,0.99960548,0.99969335,0.99974083
